Title,Image,Price,Discount,Special Price,Link,Rating
Orient Electric Enamour Classic Pro| 25L Storage Water Heater| High Pressure Epoxy Coated Tank |5 Star rated |8 bar pressure compatibility |Suitable for high rise buildings |5 years tank warranty,https://m.media-amazon.com/images/I/317mQ9omEbL._SL160_.jpg,16490,60%,6499,https://dealsheaven.in/deal/orient-electric-enamour-classic-pro-25l-storage-water-heater-high-pressure-epoxy-coated-tank-5-star-rated-8-bar-pressure-compatibility-suitable-for-high-rise-buildings-5-years-tank-warranty,0.0
Racold Pronto Pro 3L 3KW Vertical Instant Water Heater (Geyser) | Faster Heating | Suitable for High Rise Buildings | Italian Design|3 Levels of Safety|Convenient for Kitchen & Bathroom Applications,https://m.media-amazon.com/images/I/31TuTvK0hKL._SL160_.jpg,4849,40%,2899,https://dealsheaven.in/deal/racold-pronto-pro-3l-3kw-vertical-instant-water-heater-geyser-faster-heating-suitable-for-high-rise-buildings-italian-design3-levels-of-safetyconvenient-for-kitchen-bathroom-applications,0.0
"Panasonic B22 9 Watt Wi-Fi Enabled Smart Bulb, Compatible with Amazon Alexa and Google Assistant (16M Colours + Shades of White + Dimmable + Tuneable), Pack of 2",https://m.media-amazon.com/images/I/41Z5umRscZL._SL160_.jpg,2000,80%,399,https://dealsheaven.in/deal/panasonic-b22-9-watt-wi-fi-enabled-smart-bulb-compatible-with-amazon-alexa-and-google-assistant-16m-colours-shades-of-white-dimmable-tuneable-pack-of-2,0.0
"Morphy Richards OFR Room Heater, 09 Fin 2000 Watts Oil Filled Room Heater , ISI Approved (OFR 9 Grey)",https://m.media-amazon.com/images/I/31QtilGEMjL._SL160_.jpg,13999,51%,6849,https://dealsheaven.in/deal/morphy-richards-ofr-09-2000-watt-oil-filled-radiator-grey,0.0
"Havells Monza 15 Litre Storage Wall Mount Water Heater | Feroglas Coated Tank, Heavy Duty Heating Element | Warranty: 5 Year on Tank, Protective Anode Road, 8 Bar Working Pressure | (White)",https://m.media-amazon.com/images/I/31po0ZwNbvL._SL160_.jpg,15890,64%,5699,https://dealsheaven.in/deal/havells-monza-15-litre-storage-wall-mount-water-heater-feroglas-coated-tank-heavy-duty-heating-element-warranty-5-year-on-tank-protective-anode-road-8-bar-working-pressure-white,0.0
"Standard Calor 5 Litre Instant Water Geyser 3000 Watts | Stainless Steel Tank | Rust Proof Body | Automatic Cut Off, 2 Year Comprehensive Warranty (White) By Havells",https://m.media-amazon.com/images/I/21OOE9T1EZL._SL160_.jpg,5780,45%,3149,https://dealsheaven.in/deal/standard-calor-5-litre-instant-water-geyser-3000-watts-stainless-steel-tank-rust-proof-body-automatic-cut-off-2-year-comprehensive-warranty-white-by-havells,0.0
"A.O. Smith EWS-3 Plus-White Glass Lined 3 Litre 3KW Instant Water Heater (Geyser) w/ABS outer Body for High-rise Buildings 8 Bar High Pressure rating for Kitchen & Bathroom, Wall Mounting",https://m.media-amazon.com/images/I/31GpS-fuLbL._SL160_.jpg,5200,38%,3198,https://dealsheaven.in/deal/ao-smith-ews-3-plus-white-glass-lined-3-litre-3kw-instant-water-heater-geyser-wabs-outer-body-suitable-high-rise-buildings8-bar-high-pressure-rating-made-for-kitchen-and-bathroom-applications,0.0
"POLYCAB Superia 5-Star 15L Water Heater (Geyser) | Free Installation | 5-yr tank & 2-yr product warranty | Temperature Control Knob | Enhanced Safety, Rust Proof Tank | Efficient Heating 【White】",https://m.media-amazon.com/images/I/51V8eJSFnVL._SL1500_.jpg,12990,46%,6899,https://dealsheaven.in/deal/polycab-superia-5-star-15l-water-heater-geyser-free-installation-5-yr-tank-2-yr-product-warranty-temperature-control-knob-enhanced-safety-rust-proof-tank-efficient-heating-white,0.0
Bajaj Skive 5 Litre Instant Water Heater for home| High Grade SS Tank| Multiple Safety System| Suitable for High Rise| Shock Resistant| Rust Proof Outer| 5-Year* Tank Warranty by Bajaj |White,https://m.media-amazon.com/images/I/21b9kkMki6L._SL160_.jpg,7730,48%,3999,https://dealsheaven.in/deal/bajaj-5-litre-instant-water-heater-for-homehigh-grade-ss-tankmultiple-safety-systemsuitable-for-highriseshock-resistant-rust-proof-outer-body2-yr-product-warranty-by-bajaj-white-instant-geyser,0.0
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goldmedal G Aqua 3L 3KW Instant Water Heater (Geyser) With Faster Heating| Preset Thermal Cutout| Stainless Steel Tank Rust Proof| Power & Heating LED Indicator| 2 Years Warranty (White),https://m.media-amazon.com/images/I/21TzDDzjp9L._SL160_.jpg,5160,47%,2699,https://dealsheaven.in/deal/goldmedal-g-aqua-3l-3kw-instant-water-heater-geyser-with-faster-heating-preset-thermal-cutout-stainless-steel-tank-rust-proof-power-heating-led-indicator-2-years-warranty-white,0.0
TEKCOOL Water Heater 2000W Shock Proof Immersion Rod with Rapid Heating Coil Technology | Copper & Nickel Plated with Extra Long Wire.,https://m.media-amazon.com/images/I/41RsDnwJzXL._SL160_.jpg,299,33%,199,https://dealsheaven.in/deal/tekcool-water-heater-2000w-shock-proof-immersion-rod-with-rapid-heating-coil-technology-copper-nickel-plated-with-extra-long-wire,0.0
"Racold BUONO PRO NXG Storage Water Heater 25L - Free Standard Installation & Pipes, 5 Star Rated, ABS Body Vertical Geyser for Bathroom,3 Safety Levels, Rust Proof Body with Titanium Coating, White",https://m.media-amazon.com/images/I/31WTTUGrqvL._SL160_.jpg,12799,45%,6999,https://dealsheaven.in/deal/racold-buono-pro-nxg-storage-water-heater-25l-free-standard-installation-pipes-5-star-rated-abs-body-vertical-geyser-for-bathroom3-safety-levels-rust-proof-body-with-titanium-coating-white,0.0
NUUK STROM GO Super Compact and Lightweight Travel Garment Steamer For Clothes | FREE Heat Resistant Travel Pouch | | Vertical & Horizontal Steaming | 20g/min Steam | 30 Sec Heat Up | 100ml Water Tank,https://m.media-amazon.com/images/I/41XlwmkjMNL._SL160_.jpg,4499,44%,2499,https://dealsheaven.in/deal/nuuk-strom-go-super-compact-and-lightweight-travel-garment-steamer-for-clothes-free-heat-resistant-travel-pouch-vertical-horizontal-steaming-20gmin-steam-30-sec-heat-up-100ml-water-tank,0.0
"RR Signature Zello Plus 15L Storage Water Heater for Home|Geyser with Glass Line Tank|8 Bar, Suitable of High Rise Buildings |2 Yr Warranty on Product & 6 Yr on Tank by RR | Free Installation & Pipes",https://m.media-amazon.com/images/I/31hCTtyYlsL._SL160_.jpg,14500,63%,5257,https://dealsheaven.in/deal/rr-signature-zello-plus-15l-storage-water-heater-for-homegeyser-with-glass-line-tank8-bar-suitable-of-high-rise-buildings-2-yr-warranty-on-product-6-yr-on-tank-by-rr-free-installation-pipes,0.0
"Hindware Atlantic Xceed Neo 25L, 2Kw, Glasslined Coated Tank, Storage Water Heater, White",https://m.media-amazon.com/images/I/31S10A8REoL._SL160_.jpg,13990,61%,5418,https://dealsheaven.in/deal/hindware-atlantic-xceed-neo-25l-2kw-glasslined-coated-tank-storage-water-heater-white,0.0
"Amazfit Active 42mm AMOLED Smart Watch, Built in GPS, 14day Battery, 5ATM Water Resistant, for iOS & Android, Accurate Readings, BT Calling, Track Menstrual Cycle, Temperature Sensor (Petal Pink)",https://m.media-amazon.com/images/I/41cABjJDeDL._SL160_.jpg,19999,55%,8999,https://dealsheaven.in/deal/amazfit-active-42mm-amoled-smart-watch-built-in-gps-14day-battery-5atm-water-resistant-for-ios-android-accurate-readings-bt-calling-track-menstrual-cycle-temperature-sensor-petal-pink,0.0
"Havells Room Heater 1500W Pacifio Mica| Micathermic Technology for Rapid & Instant Heating | Silent Operation, Comfortable Breathing & Anti Dryness| 2 Heat Setting | 2 Year Warranty| Black & Rose Gold",https://m.media-amazon.com/images/I/41TwEVg8r2L._SL160_.jpg,10295,71%,2899,https://dealsheaven.in/deal/havells-room-heater-pacifio-mica-convenction-1500-watt-with-micathermic-technology-2-heat-setting-black-rose-gold,0.0
Clovia Women's Activewear Ankle Length Tights (AB0048P05_Grey_M),https://m.media-amazon.com/images/I/41K-sA-9UFL._SL160_.jpg,1299,70%,381,https://dealsheaven.in/deal/clovia-womens-activewear-ankle-length-tights-ab0048p05-grey-m,0.0
"LONGWAY Kiger P2 1200 mm/48 inch Ultra High Speed 3 Blade Anti-Dust Decorative Star Rated Ceiling Fan (Smoked Brown, Pack of 2)",https://m.media-amazon.com/images/I/31sADLsITdL._SL160_.jpg,4962,57%,2099,https://dealsheaven.in/deal/longway-kiger-1200mm48-inch-high-speed-anti-dust-ceiling-fan-smoked-brown-pack-of-2,0.0
N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LONGWAY Starlite-1 P2 1200 mm/48 inch Ultra High Speed 3 Blade Anti-Dust Decorative Star Rated Ceiling Fan (Golden Beige, Pack of 2)",https://m.media-amazon.com/images/I/31-IJKCKSmL._SL160_.jpg,5762,73%,1519,https://dealsheaven.in/deal/longway-starlite-1-p2-1200-mm48-inch-ultra-high-speed-3-blade-anti-dust-decorative-star-rated-ceiling-fan-golden-beige-pack-of-2,0.0
AO Smith EWS NEO-3L | 3 Litre 3KW Instant Water Heater (Geyser) with shock proof Outer Body |5 Levels safety shield |Made for Kitchen and Bathroom Applications,https://m.media-amazon.com/images/I/31oDFmwodLL._SL160_.jpg,4990,39%,2998,https://dealsheaven.in/deal/ao-smith-ews-neo-3l-3-litre-3kw-instant-water-heater-geyser-with-shock-proof-outer-body-5-levels-safety-shield-made-for-kitchen-and-bathroom-applications,0.0
