Company,Job Title,Description,Time Posted,Location,image_url
Kidea,copywriter,siamo alla ricerca di un copy da inserire nel nostro reparto creativo,5 hours ago,"Naples, Italy",https://mir-s3-cdn-cf.behance.net/24633cfd0e7f84e5791dfde71e9cb523/2f9545f3-9781-4dd4-8c50-042275b3903a_acc_180x180.png?h=1098bad5cfe8bc48f4b2a5eda3be58f2
"O2, INC",UI/UX Designer,We are looking for a talented UI/UX Designer to join our team,8 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/1362a8ba37454a3285588736d8b86706/cd7fbadb-b815-4768-bf5c-1da205368f0a_acc_180x180.jpg?h=b87578579c0d2a94b2eff1b36ea9beef
Scienseed,Video editor,"Currently, we are looking for a Video Editor to strengthen our creative team",3 days ago,"Madrid, Spain",https://mir-s3-cdn-cf.behance.net/ec8f4cd722f29ab5e59958dc35107752/c7dfa6a6-31fa-4053-8168-353ebcd07efc_acc_180x180.png?h=acb4c43c783a6ffe666512ca033bce65
Tessarakt Experiential,Motion Graphic Designer,Join Tessarakt as an Motion Designer and bring stories to life with stunning visuals!,3 days ago,India,https://mir-s3-cdn-cf.behance.net/c7dd3aabfd05784e07bd1983860f84e2/3f2ebef7-6931-441e-bf59-8b0f4aa5c6d7_acc_180x180.jpg?h=772c583777a5d6baf9b107edbb7ff593
Tessarakt Experiential,Graphic Designer,"Join Tessarakt as an Onsite Graphic Designer and craft stunning, unforgettable visuals!",3 days ago,India,https://mir-s3-cdn-cf.behance.net/86f97212a88d236fe79a035493fd07da/86780f6f-c115-453a-aa47-819454bc84ad_acc_180x180.jpg?h=4d177452d27a1829ae1f359e94531045
AX Creative Agency,Hype Video Editor,Looking for an experience and diverse video editor,3 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/fbe02c7dd15f6119f5946978932e74b1/f9e4c4d9-3254-4504-9252-c96cf0d8ddc7_acc_180x180.jpg?h=6fea730feaf35f26ec876eb82979f600
Wunderfauks,100% Remote - Full Time Creative Designer - APAC Region,Looking For - 100% Remote - Full Time Creative Designer - APAC Region,4 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/f1f0f85e762a6668843acd2668838992/7620b9a1-cc2b-4a80-96da-ff0ceec1e01d_acc_180x180.png?h=b60bc83fe991dab5e51e514aca03d6ad
stellenmanufaktur,Webdesigner und Webprogrammierer gesucht (m/w/d),"Wir sind ein aufstrebendes Unternehmen, das marketingorientierte Internetlösungen in ...",4 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/564ef7416ab9bd3ca5c232708aa015fe/200c4147-eda4-4325-a38b-9fd82a5609d0_acc_180x180.png?h=50a0d22e3a559b7804f02c5ce344d0af
stellenmanufaktur,Web Developer gesucht (m/w/d),"Jede geniale Idee braucht jemanden, der sie umsetzt.",4 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/5d4599ecc8111f54a3e7bb4ead9c209d/a0af48d7-9338-46bc-a0d0-7994c0d30460_acc_180x180.png?h=ad1333f90a1fb90a59192fd9588bcc82
Ekaha,Graphic Designer,We are looking for Graphic Designer proficient in Canva & Adobe,4 days ago,"Ahmedabad, India",https://mir-s3-cdn-cf.behance.net/d9dc4203687b590c811d4ffa249b34fd/71239259-a049-4731-8e23-044cb370c5cc_acc_180x180.png?h=83a6df353e787cde5631028d01242dec
RIV Technologies,Video Editor,A Video Editor for Social Media,5 days ago,"Dubai, United Arab Emirates",https://mir-s3-cdn-cf.behance.net/e02d140731aa3c4062b311d2062e136b/39665f5b-b6b6-445a-b6d9-77f63a0130ee_acc_180x180.png?h=d85beb81b846f8e24cf9b83d6e65122d
